price,address,beds,baths,parking,type,sold_date
"$1,000,000","26E/216 Box Road, 
MIRANDA NSW 2228",3,1,2,Villa,17-Jun-24
"$712,000","AA105/6 University Road, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,17-Jun-24
"$1,221,500","10/162 Karimbla Road, 
MIRANDA NSW 2228",3,2,2,Townhouse,13-Jun-24
"$1,850,000","7 Bakewell Circuit, 
SCONE NSW 2337",NA,NA,NA,Rural,13-Jun-24
"$595,000","29/513 Kingsway, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,12-Jun-24
"$1,850,000","153a Karimbla Road, 
MIRANDA NSW 2228",5,3,2,House,11-Jun-24
"$705,000","1/621-635 Kingsway, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,11-Jun-24
"$800,000","205/6AB University Road, 
MIRANDA NSW 2228",2,2,1,Apartment / Unit / Flat,8-Jun-24
"$600,000","412/6 Urunga Parade, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,8-Jun-24
"$700,000","1/9-15 Willock Avenue, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,7-Jun-24
"$782,000","14/16-20 Urunga Parade, 
MIRANDA NSW 2228",2,1,1,Apartment / Unit / Flat,7-Jun-24
"$2,000,000","4 Parkview Street, 
MIRANDA NSW 2228",4,2,2,House,7-Jun-24
"$865,000","21/28-30 Urunga Parade, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,5-Jun-24
"$712,000","G03/6-12 Urunga Parade, 
MIRANDA NSW 2228",1,1,1,Apartment / Unit / Flat,5-Jun-24
"$890,000","14b/73 Bellingara Road, 
MIRANDA NSW 2228",2,1,2,Townhouse,4-Jun-24
"$1,165,000","9/8-12 Taylor Close, 
MIRANDA NSW 2228",3,2,2,Townhouse,4-Jun-24
"$1,710,000","4/14 Mooki Street, 
MIRANDA NSW 2228",4,3,2,Townhouse,4-Jun-24
"$517,000","87 Satur Road, 
SCONE NSW 2337",3,1,2,House,4-Jun-24
"$1,950,000","6 Crookwell Avenue, 
MIRANDA NSW 2228",3,1,1,House,3-Jun-24
"$910,000","708/6 Urunga Parade, 
MIRANDA NSW 2228",2,2,2,Apartment / Unit / Flat,3-Jun-24
"$1,140,000","16 Cavalry Line Road, 
SCONE NSW 2337",4,2,4,House,31-May-24
"$1,800,000","32a Carramar Crescent, 
MIRANDA NSW 2228",5,3,2,Semi-detached,30-May-24
